INFO 2024-11-20 06:42:18,314 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 06:42:27,240 views This is an info message
WARNING 2024-11-20 06:42:27,240 views This is a warning message
ERROR 2024-11-20 06:42:27,240 views This is an error message
CRITICAL 2024-11-20 06:42:27,240 views This is a critical message
INFO 2024-11-20 06:42:27,242 basehttp "POST /button-action/ HTTP/1.1" 200 61
INFO 2024-11-20 07:07:30,983 autoreload C:\Simpleblog\django-blog\django-blog\theblog\views.py changed, reloading.
INFO 2024-11-20 07:07:41,423 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 07:08:31,278 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 07:08:38,315 basehttp "GET /article/edit/3 HTTP/1.1" 200 34837
INFO 2024-11-20 07:08:38,902 basehttp "GET /static/froala_editor/css/froala_editor.min.css HTTP/1.1" 200 42647
INFO 2024-11-20 07:08:38,912 basehttp "GET /static/froala_editor/css/plugins/draggable.min.css HTTP/1.1" 200 741
INFO 2024-11-20 07:08:38,936 basehttp "GET /static/froala_editor/css/plugins/emoticons.min.css HTTP/1.1" 200 814
INFO 2024-11-20 07:08:38,946 basehttp "GET /static/froala_editor/css/plugins/file.min.css HTTP/1.1" 200 2558
INFO 2024-11-20 07:08:38,966 basehttp "GET /static/froala_editor/css/froala_style.min.css HTTP/1.1" 200 8487
INFO 2024-11-20 07:08:38,969 basehttp "GET /static/froala_editor/css/plugins/fullscreen.min.css HTTP/1.1" 200 1696
INFO 2024-11-20 07:08:38,997 basehttp "GET /static/froala_editor/css/plugins/help.min.css HTTP/1.1" 200 1303
INFO 2024-11-20 07:08:38,997 basehttp "GET /static/froala_editor/css/plugins/image.min.css HTTP/1.1" 200 4296
INFO 2024-11-20 07:08:39,025 basehttp "GET /static/froala_editor/css/plugins/line_breaker.min.css HTTP/1.1" 200 657
INFO 2024-11-20 07:08:39,026 basehttp "GET /static/froala_editor/css/plugins/image_manager.min.css HTTP/1.1" 200 7195
INFO 2024-11-20 07:08:39,035 basehttp "GET /static/froala_editor/css/plugins/special_characters.min.css HTTP/1.1" 200 766
INFO 2024-11-20 07:08:39,052 basehttp "GET /static/froala_editor/css/plugins/quick_insert.min.css HTTP/1.1" 200 1526
INFO 2024-11-20 07:08:39,068 basehttp "GET /static/froala_editor/css/plugins/table.min.css HTTP/1.1" 200 2332
INFO 2024-11-20 07:08:39,083 basehttp "GET /static/froala_editor/css/plugins/video.min.css HTTP/1.1" 200 4341
INFO 2024-11-20 07:08:39,122 basehttp "GET /static/froala_editor/js/froala-django.js HTTP/1.1" 200 495
INFO 2024-11-20 07:08:39,137 basehttp "GET /static/froala_editor/js/plugins/align.min.js HTTP/1.1" 200 3494
INFO 2024-11-20 07:08:39,193 basehttp "GET /static/froala_editor/js/plugins/char_counter.min.js HTTP/1.1" 200 2396
